t_us,ax,ay,az,gx,gy,gz,mx,my,mz,imuTempC,baroTempC,pressPa,altM,hgx,hgy,hgz
35738359,0.938527,1.733402,9.653421,0.217102,0.147927,0.765178,37.200,6.450,114.300,25.41,22.97,97170.70,351.761,-0.957681,-0.957681,16.280571
35771359,1.230620,1.747767,9.485827,0.196882,0.171340,0.690682,36.900,7.200,115.500,25.22,22.97,97170.34,351.792,5.746084,-0.957681,3.830723
35804364,1.398214,2.322376,9.701305,-0.068110,0.299047,0.626829,37.800,8.850,114.900,25.22,22.97,97170.25,351.800,4.788404,-2.873042,16.280571
35842627,1.019930,2.580950,9.734824,-0.350130,0.267121,0.517213,38.550,6.600,115.950,25.12,22.97,97170.28,351.797,8.619126,-0.957681,11.492168
35871359,1.039083,1.972822,9.567230,-0.557654,0.263928,0.482094,38.700,7.500,115.800,25.31,22.97,97170.08,351.814,2.873042,1.915361,13.407530
35904359,1.470040,1.115698,9.619903,-0.702389,0.293726,0.554461,38.700,8.400,115.050,25.12,22.98,97169.70,351.848,4.788404,1.915361,14.365211
35938359,0.790087,1.010353,8.939949,-0.572553,0.330974,0.586388,37.650,7.500,114.300,25.31,22.98,97169.73,351.845,10.534488,-1.915361,12.449849
35971359,0.454898,1.446098,8.896853,-0.335231,0.230937,0.486351,40.200,5.700,114.750,25.27,22.98,97169.58,351.858,7.661446,-3.830723,11.492168
36004359,0.924162,0.852336,9.193734,-0.278827,0.117065,0.391635,40.500,5.250,114.000,25.22,22.98,97169.80,351.838,7.661446,-4.788404,11.492168
36038359,0.828394,1.331176,9.442732,-0.209652,-0.032991,0.391635,39.300,5.850,113.850,25.12,22.98,97168.81,351.924,1.915361,3.830723,10.534488
36071359,1.762132,1.786075,9.375694,-0.252221,-0.101101,0.434204,40.650,4.650,114.450,25.31,22.98,97168.83,351.922,10.534488,-0.957681,12.449849
36104359,2.466028,0.301669,10.568007,-0.294790,0.074496,0.600223,40.500,4.500,112.950,25.31,22.98,97168.81,351.924,1.915361,0.000000,16.280571
36138359,2.279280,-0.248997,10.400413,-0.213909,0.351194,0.786462,40.950,6.000,114.000,25.31,22.97,97168.91,351.915,8.619126,7.661446,17.238253
36171359,1.120486,0.220267,9.926360,-0.116001,0.398020,0.701324,40.650,5.400,114.150,25.46,22.97,97169.48,351.866,6.703765,9.576807,8.619126
36204359,1.508347,-1.302446,9.854534,-0.027670,0.451231,0.556590,41.250,5.250,114.000,25.12,22.97,97169.73,351.845,7.661446,11.492168,12.449849
36238359,0.550666,-0.991199,9.639056,-0.065982,0.317139,0.681104,42.450,5.850,113.400,25.12,22.97,97169.95,351.826,10.534488,2.873042,15.322891
36271359,0.047884,-0.943315,9.959879,0.007450,0.226680,0.570425,43.650,5.400,114.450,25.41,22.97,97169.26,351.886,9.576807,11.492168,15.322891
36304363,-0.225055,-0.876278,10.232818,-0.170276,0.234130,0.520406,43.200,5.850,112.650,25.22,22.97,97169.32,351.880,7.661446,2.873042,9.576807
36338359,-0.454898,-1.158794,10.108319,-0.350130,0.112808,0.531048,43.200,6.600,112.650,24.93,22.97,97169.10,351.899,9.576807,4.788404,16.280571
36370878,-0.775721,-1.719037,10.764331,-0.389506,0.074496,0.485287,43.500,5.700,112.500,25.12,22.97,97168.16,351.980,8.619126,7.661446,13.407530
36404655,-1.608904,-2.547431,10.304645,-0.436332,0.136221,0.425690,42.450,5.400,112.650,25.31,22.97,97168.56,351.945,4.788404,-0.957681,5.746084
36438359,-1.292869,-2.274492,9.911995,-0.360772,0.010642,0.614058,44.100,5.250,112.500,25.22,22.97,97168.59,351.943,5.746084,-0.957681,4.788404
36471359,-0.014365,-0.387861,9.725247,-0.090459,-0.083010,0.533177,45.600,6.450,111.450,25.31,22.97,97168.79,351.926,11.492168,3.830723,17.238253
36504359,-0.928950,-1.484405,9.294291,-0.088331,-0.122386,0.659820,44.100,4.950,112.500,25.27,22.97,97167.99,351.994,9.576807,4.788404,15.322891
36538359,-1.182736,-1.350330,9.691729,-0.302240,-0.021285,0.812004,45.150,5.400,111.600,25.22,22.97,97168.20,351.977,7.661446,3.830723,13.407530
36586597,-0.660800,-1.546654,9.404425,-0.259671,0.390571,0.906720,45.450,5.400,111.600,25.22,22.97,97167.99,351.994,7.661446,5.746084,9.576807
36610151,-0.359130,-2.149993,9.069236,-0.195817,0.392699,0.986537,44.850,7.200,111.150,25.27,22.97,97168.53,351.948,11.492168,6.703765,15.322891
36640001,-1.302446,-1.096544,8.762778,-0.062789,0.262864,0.932261,44.550,6.750,109.650,25.27,22.97,97167.84,352.007,7.661446,9.576807,13.407530
36721759,-0.818817,-1.010353,8.815451,0.135157,-0.477837,0.900334,46.350,8.400,109.650,24.93,22.97,97167.30,352.054,8.619126,1.915361,16.280571
36745252,-0.167594,-1.283292,9.141062,0.290533,-0.478901,0.776884,46.200,8.850,109.800,25.27,22.96,97167.52,352.035,3.830723,5.746084,10.534488
36774951,0.301669,-1.608904,10.611102,0.641728,-0.112808,0.790719,46.350,8.700,109.950,25.31,22.95,97167.50,352.037,8.619126,4.788404,14.365211
36803943,0.277727,-1.350330,10.582372,0.622572,0.386314,0.809875,46.500,11.250,111.300,25.31,22.95,97167.87,352.005,6.703765,2.873042,15.322891
36832962,0.043096,-1.043872,9.390059,0.599159,0.711967,0.757728,48.300,11.250,109.500,24.93,22.95,97167.65,352.024,3.830723,-0.957681,13.407530
36862027,-0.349553,-0.933739,8.465898,0.531048,0.676847,0.715159,48.900,12.600,110.700,25.22,22.96,97167.84,352.007,10.534488,5.746084,22.984337
36891009,-1.000776,-0.253785,7.297527,0.284148,0.077688,0.658755,49.800,13.800,108.000,25.46,22.96,97167.52,352.035,9.576807,3.830723,11.492168
36922193,-0.699107,-0.454898,9.141062,0.039376,-0.078753,0.648113,49.050,13.050,108.450,24.93,22.97,97167.53,352.034,10.534488,8.619126,18.195932
